FIELD_ID	REGION_ID	PIXEL_GEOMETRY	x_ratio	y_ratio	width_ratio	height_ratio	WINDOW_WIDTH	WINDOW_HEIGHT	FIELD_VISUALLY_CONFIRMED	REGION_INSIDE_WINDOW	OVERLAP_WITH_OTHER_FIELDS	CLASSIFICATIONS	SOURCE	READING_MODE	VISIBILITY_STATE	PARENT_REGION_ID	PRIVACY_SENSITIVE	OCR_TEXT	OCR_CONFIDENCE	CROP_SHA256	CALIBRATION_STATUS
ASSET	ASSET	151x20+189+104	0.138360175695	0.135416666667	0.110541727672	0.026041666667	1366	768	YES	YES	NO	STATIC_POSITION,DYNAMIC_CONTENT,ASSET_DEPENDENT	BROKER_ASSET_CARD	OCR	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	b8ad99c16b3f2c8acd6657e375eee2a892032ae5a1571acbf549757a9ae75512	OCR_PENDING_DEPENDENCY_MISSING
PAYOUT	PAYOUT	27x14+219+124	0.160322108346	0.161458333333	0.019765739385	0.018229166667	1366	768	YES	YES	NO	STATIC_POSITION,DYNAMIC_CONTENT,ASSET_DEPENDENT	BROKER_ASSET_CARD_PAYOUT	OCR	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	829bf6593aae8ad7fcc5823220f0a6344b732514b22b04d6b40650bbdefc8283	OCR_PENDING_DEPENDENCY_MISSING
PRICE_SOURCE_BROWSER_TAB	PRICE_SOURCE_BROWSER_TAB	65x22+539+9	0.394582723280	0.011718750000	0.047584187408	0.028645833333	1366	768	YES	YES	NO	DYNAMIC_CONTENT,ASSET_DEPENDENT	ACTIVE_BROWSER_TAB_VISUAL_TITLE	OCR	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	c1ff9e0673125e02c0f4917f952e9fcf1df86b02442bf418fa65d55205631b5b	OCR_PENDING_DEPENDENCY_MISSING
TIMEFRAME	TIMEFRAME	40x30+98+575	0.071742313324	0.748697916667	0.029282576867	0.039062500000	1366	768	YES	YES	NO	STATIC_POSITION,DYNAMIC_CONTENT	CHART_TIMEFRAME_CONTROL	OCR	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	3ff49ecdf388833fb8b12d249afb66902caf3e8e091a37e78c582dcea3e1e5c7	OCR_PENDING_DEPENDENCY_MISSING
ENTRY_VALUE	ENTRY_VALUE	148x55+1146+171	0.838945827233	0.222656250000	0.108345534407	0.071614583333	1366	768	YES	YES	NO	STATIC_POSITION,DYNAMIC_CONTENT	ORDER_ENTRY_VALUE	OCR	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	d0f3ddf2d185f7e1f5fa78c2c2c9019e4459754ffd304b841de057909a0ea924	OCR_PENDING_DEPENDENCY_MISSING
ENTRY_VALUE_MINUS	ENTRY_VALUE_MINUS	48x21+1167+233	0.854319180088	0.303385416667	0.035139092240	0.027343750000	1366	768	YES	YES	NO	STATIC_POSITION	ORDER_ENTRY_MINUS_CONTROL	VISUAL_STATE	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	9aff197ac78285743e747eb874e9313a4db2f1615c0b909978278b94c32e3e9a	VISUAL_STATE_REGION_CALIBRATED
ENTRY_VALUE_PLUS	ENTRY_VALUE_PLUS	53x19+1273+234	0.931918008785	0.304687500000	0.038799414348	0.024739583333	1366	768	YES	YES	NO	STATIC_POSITION	ORDER_ENTRY_PLUS_CONTROL	VISUAL_STATE	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	6f72f9f9d0f09a3a2d539291d8a26dd2d6f45671cb251758c4093ce4abe6e4b0	VISUAL_STATE_REGION_CALIBRATED
DURATION	DURATION	130x58+1146+273	0.838945827233	0.355468750000	0.095168374817	0.075520833333	1366	768	YES	YES	NO	STATIC_POSITION,DYNAMIC_CONTENT	ORDER_DURATION_VALUE	OCR	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	d68e51aa638f975f4d6ab4cab931c3cf83925c96afbcc896d5db12323bf13897	OCR_PENDING_DEPENDENCY_MISSING
DURATION_MINUS	DURATION_MINUS	50x19+1166+337	0.853587115666	0.438802083333	0.036603221083	0.024739583333	1366	768	YES	YES	NO	STATIC_POSITION	ORDER_DURATION_MINUS_CONTROL	VISUAL_STATE	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	b46c2e255b366612f74dbec6d412b1d27a8e8809706b003584f6272492a2dde5	VISUAL_STATE_REGION_CALIBRATED
DURATION_PLUS	DURATION_PLUS	45x20+1277+338	0.934846266471	0.440104166667	0.032942898975	0.026041666667	1366	768	YES	YES	NO	STATIC_POSITION	ORDER_DURATION_PLUS_CONTROL	VISUAL_STATE	ALWAYS	NONE	NO	NOT_EXECUTED	0.000	e333cda854a07fc49010720f23bd1eed70ef09a1fa300103980a486a6ae4f873	VISUAL_STATE_REGION_CALIBRATED
